E700,GlobalNavigationButton
E701,Wifi
E702,Bluetooth
E703,Connect
E704,InternetSharing
E705,VPN
E706,Brightness
E707,MapPin
E708,QuietHours
E709,Airplane
E70A,Tablet
E70B,QuickNote
E70C,RememberedDevice
E70D,ChevronDown
E70E,ChevronUp
E70F,Edit
E710,Add
E711,Cancel
E712,More
E713,Setting
E714,Video
E715,Mail
E716,People
E717,Phone
E718,Pin
E719,Shop
E71A,Stop
E71B,Link
E71C,Filter
E71D,AllApps
E71E,Zoom
E71F,ZoomOut
E720,Microphone
E721,Search
E722,Camera
E723,Attach
E724,Send
E725,SendFill
E726,WalkSolid
E727,InPrivate
E728,FavoriteList
E729,PageSolid
E72A,Forward
E72B,Back
E72C,Refresh
E72D,Share
E72E,Lock
E730,ReportHacked
E731,EMI
E734,FavoriteStar
E735,FavoriteStarFill
E736,ReadingMode
E737,Favicon
E738,Remove
E739,Checkbox
E73A,CheckboxComposite
E73B,CheckboxFill
E73C,CheckboxIndeterminate
E73D,CheckboxCompositeReversed
E73E,CheckMark
E73F,BackToWindow
E740,FullScreen
E741,ResizeTouchLarger
E742,ResizeTouchSmaller
E743,ResizeMouseSmall
E744,ResizeMouseMedium
E745,ResizeMouseWide
E746,ResizeMouseTall
E747,ResizeMouseLarge
E748,SwitchUser
E749,Print
E74A,Up
E74B,Down
E74C,OEM
E74D,Delete
E74E,Save
E74F,Mute
E750,BackSpaceQWERTY
E751,ReturnKey
E752,UpArrowShiftKey
E753,Cloud
E754,Flashlight
E755,RotationLock
E756,CommandPrompt
E759,SIPMove
E75A,SIPUndock
E75B,SIPRedock
E75C,EraseTool
E75D,UnderscoreSpace
E75E,GripperTool
E75F,Dialpad
E760,PageLeft
E761,PageRight
E762,MultiSelect
E763,KeyboardLeftHanded
E764,KeyboardRightHanded
E765,KeyboardClassic
E766,KeyboardSplit
E767,Volume
E768,Play
E769,Pause
E76B,ChevronLeft
E76C,ChevronRight
E76D,InkingTool
E76E,Emoji2
E76F,GripperBarHorizontal
E770,System
E771,Personalize
E772,Devices
E773,SearchAndApps
E774,Globe
E775,TimeLanguage
E776,EaseOfAccess
E777,UpdateRestore
E778,HangUp
E779,ContactInfo
E77A,Unpin
E77B,Contact
E77C,Memo
E77E,IncomingCall
E77F,Paste
E780,PhoneBook
E781,LEDLight
E783,Error
E784,GripperBarVertical
E785,Unlock
E786,Slideshow
E787,Calendar
E788,GripperResize
E789,Megaphone
E78A,Trim
E78B,NewWindow
E78C,SaveLocal
E790,Color
E791,DataSense
